customer_id,purchased,gender_label,income_group_encoded,income_missing_flag,purchase_per_day,amount_log,amount_sqrt,amount_reciprocal,amount_power,frequent_buyer,city_Ahmedabad,city_Bangalore,city_Chennai,city_Delhi,city_Fort Worth,city_Houston,city_Indianapolis,city_Jacksonville,city_Kolkata,city_Mumbai,city_Phoenix,city_Pune,city_Seattle,city_Surat,city_Washington,payment_Cash,payment_Credit Card,payment_Debit Card,payment_UPI,age_robust,income_simple_robust,amount_fill_robust,price_fill_robust,stock_fill_robust,days_since_signup_robust,days_since_last_purchase_robust
101,1,1,0,0,0.024390243902439025,6.214608098422191,22.338307903688676,0.002,0.7905888410709969,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.7222222222222222,-6.0,0.24974974974974976,0.24974974974974976,1.2307692307692308,0.15789473684210525,1.3529411764705883
102,1,0,1,0,0.023809523809523808,7.313220387090301,38.71692136521188,0.0006666666666666666,1.0879069767249925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.05555555555555555,2.0,1.2507507507507507,1.0505505505505506,0.46153846153846156,0.2631578947368421,0.4117647058823529
103,1,1,0,0,0.023255813953488372,7.170119543449628,36.0416425818802,0.0007692307692307692,1.049476370319362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.3888888888888889,-3.6,1.0505505505505506,1.0505505505505506,0.46153846153846156,0.3684210526315789,1.2352941176470589
104,1,0,1,0,0.022727272727272728,6.551080335043404,26.43860813280457,0.0014285714285714286,0.8822071404194897,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5,6.0,0.44994994994994997,0.44994994994994997,0.9230769230769231,0.47368421052631576,1.1176470588235294
105,1,1,2,0,0.022222222222222223,7.600902459542082,44.710177812216315,0.0005,1.1648986877241108,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0555555555555556,18.0,1.7512512512512513,1.7512512512512513,0.6153846153846154,0.5789473684210527,0.8823529411764706
106,1,0,0,0,0.021739130434782608,6.214608098422191,22.338307903688676,0.002,0.7905888410709969,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.9444444444444444,-8.4,0.24974974974974976,0.24974974974974976,1.2307692307692308,0.6842105263157895,0.29411764705882354
107,1,1,0,0,0.02127659574468085,6.802394763324311,29.9833287011299,0.0011111111111111111,0.9503150903601767,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,-0.16666666666666666,-2.0,0.6501501501501501,0.6501501501501501,1.5384615384615385,0.7894736842105263,0.6470588235294118
108,1,0,1,0,0.020833333333333332,7.8632667240095735,50.98038838612354,0.0003846153846153846,1.2348048072104099,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.2777777777777778,4.4,2.3518518518518516,2.3518518518518516,0.3076923076923077,0.8947368421052632,0.5294117647058824
1,0,0,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.16666666666666666,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.8947368421052632,-0.29411764705882354
2,0,1,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6111111111111112,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.7894736842105263,-0.29411764705882354
3,0,0,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1.3888888888888888,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.6842105263157895,-0.29411764705882354
4,0,1,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1.7222222222222223,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.5789473684210527,-0.29411764705882354
5,0,0,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.05555555555555555,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.47368421052631576,-0.29411764705882354
6,0,0,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.8333333333333334,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.3684210526315789,-0.29411764705882354
7,0,1,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.9444444444444444,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.2631578947368421,-0.29411764705882354
8,0,0,1,1,0.0,0.0,0.0,1.0,-0.993848344362567,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.2777777777777778,0.0,-0.24974974974974976,-0.24974974974974976,-0.3076923076923077,-0.15789473684210525,-0.29411764705882354
